RUNTIME_IF_NO_EXTERNAL_TEMP_DATA,BURNIN,LOGINTERVAL,N_POP,RECOVERY,GEN_LEN_DEPENDS_ON_TEMP,FIXED_GEN_LEN,USE_EXTERNAL_TEMP_DATA,TEMPDATA_PATH,MEAN_TEMP,STDEV_TEMP,NUM_DAYS_TO_REPEAT,NUM_REP_TEMP_DATA,B_default,CTmin_default,B_critical,DeltaB,CTmin_critical,DeltaCTmin,CTmax_critical,DeltaCTmax,OUTDIR,OUTNAME
20000,5000,1,500,F,F,10,F,./VT_weather.txt,35,1,365,2,23.320000000000846,16.69016431077926,40,2,0,2,40,0.2,/projects/lotterhos/TPC_evol_SLiM,MEAN_TEMP_35_STDEV_TEMP_1_N_500
20000,5000,1,5000,F,F,10,F,./VT_weather.txt,35,1,365,2,23.320000000000846,16.69016431077926,40,2,0,2,40,0.2,/projects/lotterhos/TPC_evol_SLiM,MEAN_TEMP_35_STDEV_TEMP_1_N_5000
20000,5000,1,50000,F,F,10,F,./VT_weather.txt,35,1,365,2,23.320000000000846,16.69016431077926,40,2,0,2,40,0.2,/projects/lotterhos/TPC_evol_SLiM,MEAN_TEMP_35_STDEV_TEMP_1_N_50000
20000,5000,1,500,F,F,10,F,./VT_weather.txt,20,10,365,2,23.320000000000846,16.69016431077926,40,2,0,2,40,0.2,/projects/lotterhos/TPC_evol_SLiM,MEAN_TEMP_20_STDEV_TEMP_10_N_500
20000,5000,1,5000,F,F,10,F,./VT_weather.txt,20,10,365,2,23.320000000000846,16.69016431077926,40,2,0,2,40,0.2,/projects/lotterhos/TPC_evol_SLiM,MEAN_TEMP_20_STDEV_TEMP_10_N_5000
20000,5000,1,50000,F,F,10,F,./VT_weather.txt,20,10,365,2,23.320000000000846,16.69016431077926,40,2,0,2,40,0.2,/projects/lotterhos/TPC_evol_SLiM,MEAN_TEMP_20_STDEV_TEMP_10_N_50000
