seed,RUNTIME_IF_NO_EXTERNAL_TEMP_DATA,BURNIN,LOGINTERVAL,N_POP,RECOVERY,GEN_LEN_DEPENDS_ON_TEMP,FIXED_GEN_LEN,USE_EXTERNAL_TEMP_DATA,TEMPDATA_PATH,MEAN_TEMP,SEP_MEAN_TEMP,STDEV_TEMP,NUM_DAYS_TO_REPEAT,NUM_REP_TEMP_DATA,B_default,CTmin_default,B_critical,DeltaB,CTmin_critical,DeltaCTmin,CTmax_critical,DeltaCTmax,OUTDIR,OUTNAME
13579,20000,5000,1,5000,F,F,10,F,./VT_weather.txt,5,14.0,10,365,2,31,5,40,2,0,2,40,0.2,/projects/lotterhos/TPC_evol_SLiM,two_normal_SEP_MEAN_TEMP_14
13579,20000,5000,1,5000,F,F,10,F,./VT_weather.txt,5,17.0,10,365,2,31,5,40,2,0,2,40,0.2,/projects/lotterhos/TPC_evol_SLiM,two_normal_SEP_MEAN_TEMP_17
13579,20000,5000,1,5000,F,F,10,F,./VT_weather.txt,5,19.0,10,365,2,31,5,40,2,0,2,40,0.2,/projects/lotterhos/TPC_evol_SLiM,two_normal_SEP_MEAN_TEMP_19
13579,20000,5000,1,5000,F,F,10,F,./VT_weather.txt,5,19.9,10,365,2,31,5,40,2,0,2,40,0.2,/projects/lotterhos/TPC_evol_SLiM,two_normal_SEP_MEAN_TEMP_19.9
