RUNTIME,BURNIN,LOGINTERVAL,N_POP,RECOVERY,GEN_LEN_DEPENDS_ON_TEMP,FIXED_GEN_LEN,USE_EXTERNAL_TEMP_DATA,TEMPDATA_PATH,MEAN_TEMP,STDEV_TEMP,NUM_REP_TEMP_DATA,B_default,CTmin_default,B_critical,DeltaB,CTmin_critical,DeltaCTmin,CTmax_critical,DeltaCTmax,OUTDIR,OUTNAME
20000,5000,1,50000,T,T,10,T,./sine.csv,5,1,200,31,5,40,2,0,2,40,0.2,/projects/lotterhos/TPC_evol_SLiM,sine_RECOVERY_T_GEN_LEN_DEPENDS_ON_TEMP_T
20000,5000,1,50000,T,F,10,T,./sine.csv,5,1,200,31,5,40,2,0,2,40,0.2,/projects/lotterhos/TPC_evol_SLiM,sine_RECOVERY_T_GEN_LEN_DEPENDS_ON_TEMP_F
20000,5000,1,50000,F,T,10,T,./sine.csv,5,1,200,31,5,40,2,0,2,40,0.2,/projects/lotterhos/TPC_evol_SLiM,sine_RECOVERY_F_GEN_LEN_DEPENDS_ON_TEMP_T
20000,5000,1,50000,F,F,10,T,./sine.csv,5,1,200,31,5,40,2,0,2,40,0.2,/projects/lotterhos/TPC_evol_SLiM,sine_RECOVERY_F_GEN_LEN_DEPENDS_ON_TEMP_F
