cycle,day,Temp,B_mean,B_sd,CTmin_mean,CTmin_sd,CTmax_mean,CTmax_sd,Topt_mean,Topt_sd,B_CTmin_cov,fitness_mean,fitness_sd
5049,500,20,31.3936,1.23357,5.36434,1.25681,36.7579,1.65605,26.2934,1.42011,-0.17938,0.355448,0.192239
5050,510,20,31.3905,1.22952,5.43086,1.2633,36.8213,1.64877,26.3578,1.41716,-0.194599,0.356217,0.191102
5051,520,20,31.3447,1.23417,5.45802,1.28457,36.8027,1.67046,26.3545,1.43939,-0.191414,0.357263,0.18851
5052,530,20,31.3561,1.22203,5.45647,1.26458,36.8125,1.66753,26.3605,1.43352,-0.155934,0.359275,0.189057
5053,540,20,31.3335,1.22108,5.49044,1.24522,36.824,1.62313,26.3795,1.39351,-0.203527,0.360768,0.189641
5054,550,20,31.3266,1.22267,5.454,1.22729,36.7806,1.65012,26.3384,1.40895,-0.139133,0.35825,0.190503
5055,560,20,31.3076,1.23832,5.467,1.24234,36.7746,1.65998,26.3388,1.418,-0.160655,0.356135,0.189358
5056,570,20,31.3285,1.23031,5.47592,1.2516,36.8044,1.64359,26.3616,1.40952,-0.189389,0.356723,0.19175
5057,580,20,31.3111,1.24054,5.48116,1.25092,36.7923,1.6479,26.3552,1.41068,-0.194077,0.358178,0.189045
5058,590,20,31.2963,1.23727,5.48692,1.24529,36.7832,1.66515,26.3511,1.4231,-0.154435,0.355638,0.188701
5059,600,20,31.3025,1.23447,5.48441,1.26131,36.7869,1.64003,26.3528,1.40882,-0.212564,0.356741,0.187394
5060,610,20,31.3037,1.22229,5.4729,1.25573,36.7766,1.67511,26.342,1.43676,-0.132437,0.353106,0.192902
5061,620,20,31.2816,1.22664,5.4823,1.23275,36.7639,1.63618,26.3367,1.3989,-0.173619,0.35976,0.189524
5062,630,20,31.2938,1.22338,5.46392,1.24646,36.7578,1.64918,26.3265,1.41368,-0.165255,0.357038,0.19055
5063,640,20,31.3015,1.258,5.46872,1.21221,36.7702,1.63278,26.3364,1.384,-0.193025,0.35706,0.190621
5064,650,20,31.3113,1.25136,5.44717,1.2326,36.7585,1.64052,26.3214,1.39738,-0.196952,0.358436,0.192021
5065,660,20,31.3018,1.23769,5.45931,1.24062,36.7611,1.64131,26.3272,1.40305,-0.188573,0.359387,0.190147
5066,670,20,31.3261,1.22508,5.44646,1.24123,36.7726,1.64908,26.3305,1.41174,-0.160999,0.352128,0.192081
5067,680,20,31.2904,1.22975,5.44561,1.2541,36.736,1.66467,26.3059,1.42675,-0.156966,0.356209,0.190008
5068,690,20,31.3255,1.21415,5.45187,1.25245,36.7773,1.66079,26.3355,1.42622,-0.14229,0.358807,0.189651
5069,700,20,31.2962,1.22801,5.45245,1.22997,36.7487,1.63739,26.3166,1.39876,-0.16989,0.355339,0.188796
5070,710,20,31.323,1.22575,5.46873,1.23285,36.7918,1.65226,26.3508,1.41165,-0.146203,0.358499,0.189753
5071,720,20,31.3187,1.25247,5.47679,1.24416,36.7954,1.65231,26.3559,1.40977,-0.193248,0.355473,0.189789
5072,730,20,31.3333,1.22242,5.48269,1.23208,36.8159,1.63925,26.3715,1.40191,-0.162601,0.35268,0.190303
5073,740,20,31.3219,1.21136,5.49552,1.22693,36.8174,1.62977,26.3768,1.39516,-0.158308,0.3601,0.187935
5074,750,20,31.3202,1.21398,5.45864,1.2118,36.7788,1.62448,26.3388,1.3861,-0.151648,0.354536,0.193464
5075,760,20,31.3249,1.20807,5.472,1.20666,36.797,1.61039,26.3553,1.37474,-0.161054,0.358891,0.19042
5076,770,20,31.3315,1.21843,5.48741,1.21592,36.8189,1.61486,26.3751,1.37893,-0.177613,0.360572,0.188893
5077,780,20,31.3362,1.20254,5.48733,1.23478,36.8235,1.63038,26.3781,1.39963,-0.156323,0.358197,0.19078
5078,790,20,31.3267,1.22616,5.46895,1.22357,36.7956,1.63856,26.3534,1.39816,-0.157862,0.356622,0.188746
5079,800,20,31.3225,1.19826,5.46643,1.24241,36.7889,1.63458,26.3481,1.40595,-0.153786,0.358282,0.190933
5080,810,20,31.3549,1.22086,5.4498,1.2478,36.8047,1.64034,26.353,1.40769,-0.1784,0.35638,0.189747
5081,820,20,31.3844,1.23383,5.48351,1.22572,36.868,1.6403,26.4065,1.39865,-0.167067,0.356159,0.191308
5082,830,20,31.3719,1.20912,5.49187,1.21588,36.8637,1.61606,26.4064,1.38167,-0.164343,0.358899,0.189574
5083,840,20,31.3682,1.20489,5.52035,1.22014,36.8886,1.60091,26.4325,1.37195,-0.188806,0.358589,0.187559
5084,850,20,31.3528,1.2191,5.45514,1.21028,36.808,1.62091,26.357,1.38187,-0.161812,0.357354,0.189273
5085,860,20,31.356,1.221,5.45826,1.20508,36.8142,1.60761,26.3623,1.36957,-0.179329,0.361263,0.191726
5086,870,20,31.3742,1.2057,5.47841,1.23288,36.8526,1.60724,26.3945,1.38049,-0.195241,0.358781,0.189864
5087,880,20,31.3653,1.19872,5.476,1.21904,36.8413,1.58984,26.3862,1.36422,-0.197707,0.359235,0.18776
5088,890,20,31.3911,1.18845,5.47339,1.2191,36.8645,1.58186,26.4008,1.36004,-0.198173,0.364731,0.185703
5089,900,20,31.3925,1.14365,5.4789,1.22387,36.8714,1.56836,26.4073,1.35958,-0.173017,0.361856,0.189387
5090,910,20,31.3826,1.18803,5.49599,1.2246,36.8786,1.61542,26.4177,1.38779,-0.150742,0.36159,0.189773
5091,920,20,31.3573,1.19655,5.48138,1.22634,36.8387,1.62506,26.3862,1.39416,-0.147416,0.357325,0.188616
5092,930,20,31.3817,1.20865,5.45664,1.22463,36.8383,1.60414,26.3778,1.37506,-0.193641,0.356972,0.188339
5093,940,20,31.3703,1.18191,5.48392,1.19482,36.8542,1.58688,26.3975,1.35802,-0.153159,0.353942,0.189956
5094,950,20,31.3928,1.19077,5.50367,1.2376,36.8965,1.60194,26.4322,1.38068,-0.191682,0.357159,0.18929
5095,960,20,31.3883,1.20577,5.51927,1.21772,36.9075,1.57516,26.4448,1.35103,-0.227789,0.359572,0.187743
5096,970,20,31.3803,1.18891,5.52354,1.23,36.9039,1.5956,26.4438,1.37386,-0.190231,0.356283,0.190695
5097,980,20,31.4199,1.21528,5.50339,1.19684,36.9233,1.53577,26.45,1.31213,-0.275369,0.358285,0.188241
5098,990,20,31.3967,1.20762,5.54472,1.20058,36.9414,1.5718,26.4758,1.34292,-0.214582,0.361974,0.187614
5099,1000,20,31.3746,1.19553,5.5376,1.20762,36.9122,1.59099,26.454,1.36235,-0.178193,0.361011,0.188496
5100,1010,20,31.3896,1.19575,5.48843,1.1993,36.878,1.56952,26.4148,1.34312,-0.202369,0.35599,0.189567
5101,1020,20,31.3838,1.20892,5.50101,1.19572,36.8848,1.56195,26.4235,1.33352,-0.225774,0.36306,0.185155
5102,1030,20,31.3989,1.22508,5.52467,1.19582,36.9236,1.56118,26.4573,1.32966,-0.246759,0.359231,0.188834
5103,1040,20,31.3753,1.20099,5.54668,1.23187,36.9219,1.57666,26.4635,1.3574,-0.23701,0.360658,0.18781
5104,1050,20,31.3549,1.21541,5.5127,1.21936,36.8676,1.57363,26.416,1.34841,-0.243885,0.361018,0.190197
5105,1060,20,31.3476,1.18774,5.49346,1.23685,36.8411,1.57274,26.3919,1.35847,-0.233512,0.365764,0.188855
5106,1070,20,31.3408,1.21922,5.47207,1.24008,36.8129,1.60372,26.366,1.37727,-0.22619,0.358666,0.189091
5107,1080,20,31.3253,1.19882,5.5194,1.21446,36.8447,1.57479,26.4029,1.35114,-0.216064,0.355182,0.186741
5108,1090,20,31.3624,1.20482,5.48394,1.20487,36.8464,1.57445,26.3922,1.34682,-0.212204,0.357498,0.188951
5109,1100,20,31.3484,1.20775,5.51969,1.19803,36.8681,1.55426,26.4186,1.32844,-0.239107,0.360283,0.188226
5110,1110,20,31.3591,1.18686,5.52179,1.18816,36.8809,1.52188,26.4279,1.30447,-0.252122,0.358994,0.188794
5111,1120,20,31.3639,1.18433,5.50051,1.18109,36.8644,1.5413,26.4098,1.31796,-0.210999,0.357738,0.187233
